login,email,role,teacherId,studentId,password
t1f,t1f@g.nsu.ru,TEACHER,DCT0051,,teacher123
t1g,t1g@g.nsu.ru,TEACHER,DCT0052,,teacher123
t1h,t1h@g.nsu.ru,TEACHER,DCT0053,,teacher123
t1i,t1i@g.nsu.ru,TEACHER,DCT0054,,teacher123
t1j,t1j@g.nsu.ru,TEACHER,DCT0055,,teacher123
t1k,t1k@g.nsu.ru,TEACHER,DCT0056,,teacher123
t1l,t1l@g.nsu.ru,TEACHER,DCT0057,,teacher123
t1m,t1m@g.nsu.ru,TEACHER,DCT0058,,teacher123
t1n,t1n@g.nsu.ru,TEACHER,DCT0059,,teacher123
t1o,t1o@g.nsu.ru,TEACHER,DCT0060,,teacher123
t1p,t1p@g.nsu.ru,TEACHER,DCT0061,,teacher123
t1q,t1q@g.nsu.ru,TEACHER,DCT0062,,teacher123
t1r,t1r@g.nsu.ru,TEACHER,DCT0063,,teacher123
t1s,t1s@g.nsu.ru,TEACHER,DCT0064,,teacher123
t1t,t1t@g.nsu.ru,TEACHER,DCT0065,,teacher123
t1u,t1u@g.nsu.ru,TEACHER,DCT0066,,teacher123
t1v,t1v@g.nsu.ru,TEACHER,DCT0067,,teacher123
t1w,t1w@g.nsu.ru,TEACHER,DCT0068,,teacher123
t1x,t1x@g.nsu.ru,TEACHER,DCT0069,,teacher123
t1y,t1y@g.nsu.ru,TEACHER,DCT0070,,teacher123
t1z,t1z@g.nsu.ru,TEACHER,DCT0071,,teacher123
t20,t20@g.nsu.ru,TEACHER,DCT0072,,teacher123
t21,t21@g.nsu.ru,TEACHER,DCT0073,,teacher123
t22,t22@g.nsu.ru,TEACHER,DCT0074,,teacher123
t23,t23@g.nsu.ru,TEACHER,DCT0075,,teacher123
t24,t24@g.nsu.ru,TEACHER,DCT0076,,teacher123
t25,t25@g.nsu.ru,TEACHER,DCT0077,,teacher123
t26,t26@g.nsu.ru,TEACHER,DCT0078,,teacher123
t27,t27@g.nsu.ru,TEACHER,DCT0079,,teacher123
t28,t28@g.nsu.ru,TEACHER,DCT0080,,teacher123
t29,t29@g.nsu.ru,TEACHER,DCT0081,,teacher123
t2a,t2a@g.nsu.ru,TEACHER,DCT0082,,teacher123
t2b,t2b@g.nsu.ru,TEACHER,DCT0083,,teacher123
t2c,t2c@g.nsu.ru,TEACHER,DCT0084,,teacher123
t2d,t2d@g.nsu.ru,TEACHER,DCT0085,,teacher123
t2e,t2e@g.nsu.ru,TEACHER,DCT0086,,teacher123
t2f,t2f@g.nsu.ru,TEACHER,DCT0087,,teacher123
t2g,t2g@g.nsu.ru,TEACHER,DCT0088,,teacher123
t2h,t2h@g.nsu.ru,TEACHER,DCT0089,,teacher123
t2i,t2i@g.nsu.ru,TEACHER,DCT0090,,teacher123
t2j,t2j@g.nsu.ru,TEACHER,DCT0091,,teacher123
t2k,t2k@g.nsu.ru,TEACHER,DCT0092,,teacher123
t2l,t2l@g.nsu.ru,TEACHER,DCT0093,,teacher123
t2m,t2m@g.nsu.ru,TEACHER,DCT0094,,teacher123
t2n,t2n@g.nsu.ru,TEACHER,DCT0095,,teacher123
t2o,t2o@g.nsu.ru,TEACHER,DCT0096,,teacher123
t2p,t2p@g.nsu.ru,TEACHER,DCT0097,,teacher123
t2q,t2q@g.nsu.ru,TEACHER,DCT0098,,teacher123
t2r,t2r@g.nsu.ru,TEACHER,DCT0099,,teacher123
t2s,t2s@g.nsu.ru,TEACHER,DCT0100,,teacher123
t2t,t2t@g.nsu.ru,TEACHER,DCT0101,,teacher123
t2u,t2u@g.nsu.ru,TEACHER,DCT0102,,teacher123
t2v,t2v@g.nsu.ru,TEACHER,DCT0103,,teacher123
t2w,t2w@g.nsu.ru,TEACHER,DCT0104,,teacher123
t2x,t2x@g.nsu.ru,TEACHER,DCT0105,,teacher123
t2y,t2y@g.nsu.ru,TEACHER,DCT0106,,teacher123
t2z,t2z@g.nsu.ru,TEACHER,DCT0107,,teacher123
t30,t30@g.nsu.ru,TEACHER,DCT0108,,teacher123
t31,t31@g.nsu.ru,TEACHER,DCT0109,,teacher123
t32,t32@g.nsu.ru,TEACHER,DCT0110,,teacher123
t33,t33@g.nsu.ru,TEACHER,DCT0111,,teacher123
t34,t34@g.nsu.ru,TEACHER,DCT0112,,teacher123
t35,t35@g.nsu.ru,TEACHER,DCT0113,,teacher123
t36,t36@g.nsu.ru,TEACHER,DCT0114,,teacher123
t37,t37@g.nsu.ru,TEACHER,DCT0115,,teacher123
t38,t38@g.nsu.ru,TEACHER,DCT0116,,teacher123
t39,t39@g.nsu.ru,TEACHER,DCT0117,,teacher123
t3a,t3a@g.nsu.ru,TEACHER,DCT0118,,teacher123
t3b,t3b@g.nsu.ru,TEACHER,DCT0119,,teacher123
t3c,t3c@g.nsu.ru,TEACHER,DCT0120,,teacher123
t3d,t3d@g.nsu.ru,TEACHER,DCT0121,,teacher123
t3e,t3e@g.nsu.ru,TEACHER,DCT0122,,teacher123
t3f,t3f@g.nsu.ru,TEACHER,DCT0123,,teacher123
t3g,t3g@g.nsu.ru,TEACHER,DCT0124,,teacher123
t3h,t3h@g.nsu.ru,TEACHER,DCT0125,,teacher123
t3i,t3i@g.nsu.ru,TEACHER,DCT0126,,teacher123
t3j,t3j@g.nsu.ru,TEACHER,DCT0127,,teacher123
t3k,t3k@g.nsu.ru,TEACHER,DCT0128,,teacher123
t3l,t3l@g.nsu.ru,TEACHER,DCT0129,,teacher123
t3m,t3m@g.nsu.ru,TEACHER,DCT0130,,teacher123
t3n,t3n@g.nsu.ru,TEACHER,DCT0131,,teacher123
t3o,t3o@g.nsu.ru,TEACHER,DCT0132,,teacher123
t3p,t3p@g.nsu.ru,TEACHER,DCT0133,,teacher123
t3q,t3q@g.nsu.ru,TEACHER,DCT0134,,teacher123
t3r,t3r@g.nsu.ru,TEACHER,DCT0135,,teacher123
t3s,t3s@g.nsu.ru,TEACHER,DCT0136,,teacher123
t3t,t3t@g.nsu.ru,TEACHER,DCT0137,,teacher123
t3u,t3u@g.nsu.ru,TEACHER,DCT0138,,teacher123
t3v,t3v@g.nsu.ru,TEACHER,DCT0139,,teacher123
t3w,t3w@g.nsu.ru,TEACHER,DCT0140,,teacher123
t3x,t3x@g.nsu.ru,TEACHER,DCT0141,,teacher123
t3y,t3y@g.nsu.ru,TEACHER,DCT0142,,teacher123
t3z,t3z@g.nsu.ru,TEACHER,DCT0143,,teacher123
t40,t40@g.nsu.ru,TEACHER,DCT0144,,teacher123
t41,t41@g.nsu.ru,TEACHER,DCT0145,,teacher123
t42,t42@g.nsu.ru,TEACHER,DCT0146,,teacher123
t43,t43@g.nsu.ru,TEACHER,DCT0147,,teacher123
t44,t44@g.nsu.ru,TEACHER,DCT0148,,teacher123
t45,t45@g.nsu.ru,TEACHER,DCT0149,,teacher123
t46,t46@g.nsu.ru,TEACHER,DCT0150,,teacher123
t47,t47@g.nsu.ru,TEACHER,DCT0151,,teacher123
t48,t48@g.nsu.ru,TEACHER,DCT0152,,teacher123
t49,t49@g.nsu.ru,TEACHER,DCT0153,,teacher123
t4a,t4a@g.nsu.ru,TEACHER,DCT0154,,teacher123
t4b,t4b@g.nsu.ru,TEACHER,DCT0155,,teacher123
t4c,t4c@g.nsu.ru,TEACHER,DCT0156,,teacher123
t4d,t4d@g.nsu.ru,TEACHER,DCT0157,,teacher123
t4e,t4e@g.nsu.ru,TEACHER,DCT0158,,teacher123
t4f,t4f@g.nsu.ru,TEACHER,DCT0159,,teacher123
t4g,t4g@g.nsu.ru,TEACHER,DCT0160,,teacher123
t4h,t4h@g.nsu.ru,TEACHER,DCT0161,,teacher123
t4i,t4i@g.nsu.ru,TEACHER,DCT0162,,teacher123
t4j,t4j@g.nsu.ru,TEACHER,DCT0163,,teacher123
t4k,t4k@g.nsu.ru,TEACHER,DCT0164,,teacher123
t4l,t4l@g.nsu.ru,TEACHER,DCT0165,,teacher123
t4m,t4m@g.nsu.ru,TEACHER,DCT0166,,teacher123
t4n,t4n@g.nsu.ru,TEACHER,DCT0167,,teacher123
t4o,t4o@g.nsu.ru,TEACHER,DCT0168,,teacher123
t4p,t4p@g.nsu.ru,TEACHER,DCT0169,,teacher123
t4q,t4q@g.nsu.ru,TEACHER,DCT0170,,teacher123
t4r,t4r@g.nsu.ru,TEACHER,DCT0171,,teacher123
t4s,t4s@g.nsu.ru,TEACHER,DCT0172,,teacher123
t4t,t4t@g.nsu.ru,TEACHER,DCT0173,,teacher123
t4u,t4u@g.nsu.ru,TEACHER,DCT0174,,teacher123
t4v,t4v@g.nsu.ru,TEACHER,DCT0175,,teacher123
t4w,t4w@g.nsu.ru,TEACHER,DCT0176,,teacher123
t4x,t4x@g.nsu.ru,TEACHER,DCT0177,,teacher123
t4y,t4y@g.nsu.ru,TEACHER,DCT0178,,teacher123
t4z,t4z@g.nsu.ru,TEACHER,DCT0179,,teacher123
t50,t50@g.nsu.ru,TEACHER,DCT0180,,teacher123
t51,t51@g.nsu.ru,TEACHER,DCT0181,,teacher123
t52,t52@g.nsu.ru,TEACHER,DCT0182,,teacher123
t53,t53@g.nsu.ru,TEACHER,DCT0183,,teacher123
t54,t54@g.nsu.ru,TEACHER,DCT0184,,teacher123
t55,t55@g.nsu.ru,TEACHER,DCT0185,,teacher123
t56,t56@g.nsu.ru,TEACHER,DCT0186,,teacher123
t57,t57@g.nsu.ru,TEACHER,DCT0187,,teacher123
t58,t58@g.nsu.ru,TEACHER,DCT0188,,teacher123
t59,t59@g.nsu.ru,TEACHER,DCT0189,,teacher123
t5a,t5a@g.nsu.ru,TEACHER,DCT0190,,teacher123
t5b,t5b@g.nsu.ru,TEACHER,DCT0191,,teacher123
t5c,t5c@g.nsu.ru,TEACHER,DCT0192,,teacher123
t5d,t5d@g.nsu.ru,TEACHER,DCT0193,,teacher123
t5e,t5e@g.nsu.ru,TEACHER,DCT0194,,teacher123
t5f,t5f@g.nsu.ru,TEACHER,DCT0195,,teacher123
t5g,t5g@g.nsu.ru,TEACHER,DCT0196,,teacher123
t5h,t5h@g.nsu.ru,TEACHER,DCT0197,,teacher123
t5i,t5i@g.nsu.ru,TEACHER,DCT0198,,teacher123
t5j,t5j@g.nsu.ru,TEACHER,DCT0199,,teacher123
t5k,t5k@g.nsu.ru,TEACHER,DCT0200,,teacher123
t5l,t5l@g.nsu.ru,TEACHER,DCT0201,,teacher123
t5m,t5m@g.nsu.ru,TEACHER,DCT0202,,teacher123
t5n,t5n@g.nsu.ru,TEACHER,DCT0203,,teacher123
t5o,t5o@g.nsu.ru,TEACHER,DCT0204,,teacher123
t5p,t5p@g.nsu.ru,TEACHER,DCT0205,,teacher123
t5q,t5q@g.nsu.ru,TEACHER,DCT0206,,teacher123
t5r,t5r@g.nsu.ru,TEACHER,DCT0207,,teacher123
t5s,t5s@g.nsu.ru,TEACHER,DCT0208,,teacher123
t5t,t5t@g.nsu.ru,TEACHER,DCT0209,,teacher123
t5u,t5u@g.nsu.ru,TEACHER,DCT0210,,teacher123
t5v,t5v@g.nsu.ru,TEACHER,DCT0211,,teacher123
t5w,t5w@g.nsu.ru,TEACHER,DCT0212,,teacher123
t5x,t5x@g.nsu.ru,TEACHER,DCT0213,,teacher123
t5y,t5y@g.nsu.ru,TEACHER,DCT0214,,teacher123
t5z,t5z@g.nsu.ru,TEACHER,DCT0215,,teacher123
t60,t60@g.nsu.ru,TEACHER,DCT0216,,teacher123
t61,t61@g.nsu.ru,TEACHER,DCT0217,,teacher123
t62,t62@g.nsu.ru,TEACHER,DCT0218,,teacher123
t63,t63@g.nsu.ru,TEACHER,DCT0219,,teacher123
t64,t64@g.nsu.ru,TEACHER,DCT0220,,teacher123
t65,t65@g.nsu.ru,TEACHER,DCT0221,,teacher123
t66,t66@g.nsu.ru,TEACHER,DCT0222,,teacher123
t67,t67@g.nsu.ru,TEACHER,DCT0223,,teacher123
t68,t68@g.nsu.ru,TEACHER,DCT0224,,teacher123
t69,t69@g.nsu.ru,TEACHER,DCT0225,,teacher123
t6a,t6a@g.nsu.ru,TEACHER,DCT0226,,teacher123
t6b,t6b@g.nsu.ru,TEACHER,DCT0227,,teacher123
t6c,t6c@g.nsu.ru,TEACHER,DCT0228,,teacher123
t6d,t6d@g.nsu.ru,TEACHER,DCT0229,,teacher123
t6e,t6e@g.nsu.ru,TEACHER,DCT0230,,teacher123
t6f,t6f@g.nsu.ru,TEACHER,DCT0231,,teacher123
t6g,t6g@g.nsu.ru,TEACHER,DCT0232,,teacher123
t6h,t6h@g.nsu.ru,TEACHER,DCT0233,,teacher123
t6i,t6i@g.nsu.ru,TEACHER,DCT0234,,teacher123
t6j,t6j@g.nsu.ru,TEACHER,DCT0235,,teacher123
t6k,t6k@g.nsu.ru,TEACHER,DCT0236,,teacher123
t6l,t6l@g.nsu.ru,TEACHER,DCT0237,,teacher123
t6m,t6m@g.nsu.ru,TEACHER,DCT0238,,teacher123
t6n,t6n@g.nsu.ru,TEACHER,DCT0239,,teacher123
t6o,t6o@g.nsu.ru,TEACHER,DCT0240,,teacher123
t6p,t6p@g.nsu.ru,TEACHER,DCT0241,,teacher123
t6q,t6q@g.nsu.ru,TEACHER,DCT0242,,teacher123
t6r,t6r@g.nsu.ru,TEACHER,DCT0243,,teacher123
t6s,t6s@g.nsu.ru,TEACHER,DCT0244,,teacher123
t6t,t6t@g.nsu.ru,TEACHER,DCT0245,,teacher123
t6u,t6u@g.nsu.ru,TEACHER,DCT0246,,teacher123
t6v,t6v@g.nsu.ru,TEACHER,DCT0247,,teacher123
t6w,t6w@g.nsu.ru,TEACHER,DCT0248,,teacher123
t6x,t6x@g.nsu.ru,TEACHER,DCT0249,,teacher123
t6y,t6y@g.nsu.ru,TEACHER,DCT0250,,teacher123
t6z,t6z@g.nsu.ru,TEACHER,DCT0251,,teacher123
t70,t70@g.nsu.ru,TEACHER,DCT0252,,teacher123
t71,t71@g.nsu.ru,TEACHER,DCT0253,,teacher123
t72,t72@g.nsu.ru,TEACHER,DCT0254,,teacher123
t73,t73@g.nsu.ru,TEACHER,DCT0255,,teacher123
t74,t74@g.nsu.ru,TEACHER,DCT0256,,teacher123
t75,t75@g.nsu.ru,TEACHER,DCT0257,,teacher123
t76,t76@g.nsu.ru,TEACHER,DCT0258,,teacher123
t77,t77@g.nsu.ru,TEACHER,DCT0259,,teacher123
t78,t78@g.nsu.ru,TEACHER,DCT0260,,teacher123
t79,t79@g.nsu.ru,TEACHER,DCT0261,,teacher123
t7a,t7a@g.nsu.ru,TEACHER,DCT0262,,teacher123
t7b,t7b@g.nsu.ru,TEACHER,DCT0263,,teacher123
t7c,t7c@g.nsu.ru,TEACHER,DCT0264,,teacher123
t7d,t7d@g.nsu.ru,TEACHER,DCT0265,,teacher123
t7e,t7e@g.nsu.ru,TEACHER,DCT0266,,teacher123
t7f,t7f@g.nsu.ru,TEACHER,DCT0267,,teacher123
t7g,t7g@g.nsu.ru,TEACHER,DCT0268,,teacher123
t7h,t7h@g.nsu.ru,TEACHER,DCT0269,,teacher123
t7i,t7i@g.nsu.ru,TEACHER,DCT0270,,teacher123
t7j,t7j@g.nsu.ru,TEACHER,DCT0271,,teacher123
t7k,t7k@g.nsu.ru,TEACHER,DCT0272,,teacher123
t7l,t7l@g.nsu.ru,TEACHER,DCT0273,,teacher123
t7m,t7m@g.nsu.ru,TEACHER,DCT0274,,teacher123
t7n,t7n@g.nsu.ru,TEACHER,DCT0275,,teacher123
t7o,t7o@g.nsu.ru,TEACHER,DCT0276,,teacher123
t7p,t7p@g.nsu.ru,TEACHER,DCT0277,,teacher123
t7q,t7q@g.nsu.ru,TEACHER,DCT0278,,teacher123
t7r,t7r@g.nsu.ru,TEACHER,DCT0279,,teacher123
t7s,t7s@g.nsu.ru,TEACHER,DCT0280,,teacher123
t7t,t7t@g.nsu.ru,TEACHER,DCT0281,,teacher123
t7u,t7u@g.nsu.ru,TEACHER,DCT0282,,teacher123
t7v,t7v@g.nsu.ru,TEACHER,DCT0283,,teacher123
t7w,t7w@g.nsu.ru,TEACHER,DCT0284,,teacher123
t7x,t7x@g.nsu.ru,TEACHER,DCT0285,,teacher123
t7y,t7y@g.nsu.ru,TEACHER,DCT0286,,teacher123
t7z,t7z@g.nsu.ru,TEACHER,DCT0287,,teacher123
t80,t80@g.nsu.ru,TEACHER,DCT0288,,teacher123
t81,t81@g.nsu.ru,TEACHER,DCT0289,,teacher123
t82,t82@g.nsu.ru,TEACHER,DCT0290,,teacher123
t83,t83@g.nsu.ru,TEACHER,DCT0291,,teacher123
t84,t84@g.nsu.ru,TEACHER,DCT0292,,teacher123
t85,t85@g.nsu.ru,TEACHER,DCT0293,,teacher123
t86,t86@g.nsu.ru,TEACHER,DCT0294,,teacher123
t87,t87@g.nsu.ru,TEACHER,DCT0295,,teacher123
t88,t88@g.nsu.ru,TEACHER,DCT0296,,teacher123
t89,t89@g.nsu.ru,TEACHER,DCT0297,,teacher123
t8a,t8a@g.nsu.ru,TEACHER,DCT0298,,teacher123
t8b,t8b@g.nsu.ru,TEACHER,DCT0299,,teacher123
t8c,t8c@g.nsu.ru,TEACHER,DCT0300,,teacher123
s1,s1@g.nsu.ru,STUDENT,,DCS0001,student123
s2,s2@g.nsu.ru,STUDENT,,DCS0002,student123
s3,s3@g.nsu.ru,STUDENT,,DCS0003,student123
s4,s4@g.nsu.ru,STUDENT,,DCS0004,student123
s5,s5@g.nsu.ru,STUDENT,,DCS0005,student123
s6,s6@g.nsu.ru,STUDENT,,DCS0006,student123
s7,s7@g.nsu.ru,STUDENT,,DCS0007,student123
s8,s8@g.nsu.ru,STUDENT,,DCS0008,student123
s9,s9@g.nsu.ru,STUDENT,,DCS0009,student123
sa,sa@g.nsu.ru,STUDENT,,DCS0010,student123
sb,sb@g.nsu.ru,STUDENT,,DCS0011,student123
sc,sc@g.nsu.ru,STUDENT,,DCS0012,student123
sd,sd@g.nsu.ru,STUDENT,,DCS0013,student123
se,se@g.nsu.ru,STUDENT,,DCS0014,student123
sf,sf@g.nsu.ru,STUDENT,,DCS0015,student123
sg,sg@g.nsu.ru,STUDENT,,DCS0016,student123
sh,sh@g.nsu.ru,STUDENT,,DCS0017,student123
si,si@g.nsu.ru,STUDENT,,DCS0018,student123
sj,sj@g.nsu.ru,STUDENT,,DCS0019,student123
sk,sk@g.nsu.ru,STUDENT,,DCS0020,student123
sl,sl@g.nsu.ru,STUDENT,,DCS0021,student123
sm,sm@g.nsu.ru,STUDENT,,DCS0022,student123
sn,sn@g.nsu.ru,STUDENT,,DCS0023,student123
so,so@g.nsu.ru,STUDENT,,DCS0024,student123
sp,sp@g.nsu.ru,STUDENT,,DCS0025,student123
sq,sq@g.nsu.ru,STUDENT,,DCS0026,student123
sr,sr@g.nsu.ru,STUDENT,,DCS0027,student123
ss,ss@g.nsu.ru,STUDENT,,DCS0028,student123
st,st@g.nsu.ru,STUDENT,,DCS0029,student123
su,su@g.nsu.ru,STUDENT,,DCS0030,student123
sv,sv@g.nsu.ru,STUDENT,,DCS0031,student123
sw,sw@g.nsu.ru,STUDENT,,DCS0032,student123
sx,sx@g.nsu.ru,STUDENT,,DCS0033,student123
sy,sy@g.nsu.ru,STUDENT,,DCS0034,student123
sz,sz@g.nsu.ru,STUDENT,,DCS0035,student123
s10,s10@g.nsu.ru,STUDENT,,DCS0036,student123
s11,s11@g.nsu.ru,STUDENT,,DCS0037,student123
s12,s12@g.nsu.ru,STUDENT,,DCS0038,student123
s13,s13@g.nsu.ru,STUDENT,,DCS0039,student123
s14,s14@g.nsu.ru,STUDENT,,DCS0040,student123
s15,s15@g.nsu.ru,STUDENT,,DCS0041,student123
s16,s16@g.nsu.ru,STUDENT,,DCS0042,student123
s17,s17@g.nsu.ru,STUDENT,,DCS0043,student123
s18,s18@g.nsu.ru,STUDENT,,DCS0044,student123
s19,s19@g.nsu.ru,STUDENT,,DCS0045,student123
s1a,s1a@g.nsu.ru,STUDENT,,DCS0046,student123
s1b,s1b@g.nsu.ru,STUDENT,,DCS0047,student123
s1c,s1c@g.nsu.ru,STUDENT,,DCS0048,student123
s1d,s1d@g.nsu.ru,STUDENT,,DCS0049,student123
s1e,s1e@g.nsu.ru,STUDENT,,DCS0050,student123
s1f,s1f@g.nsu.ru,STUDENT,,DCS0051,student123
s1g,s1g@g.nsu.ru,STUDENT,,DCS0052,student123
s1h,s1h@g.nsu.ru,STUDENT,,DCS0053,student123
s1i,s1i@g.nsu.ru,STUDENT,,DCS0054,student123
s1j,s1j@g.nsu.ru,STUDENT,,DCS0055,student123
s1k,s1k@g.nsu.ru,STUDENT,,DCS0056,student123
s1l,s1l@g.nsu.ru,STUDENT,,DCS0057,student123
s1m,s1m@g.nsu.ru,STUDENT,,DCS0058,student123
s1n,s1n@g.nsu.ru,STUDENT,,DCS0059,student123
s1o,s1o@g.nsu.ru,STUDENT,,DCS0060,student123
s1p,s1p@g.nsu.ru,STUDENT,,DCS0061,student123
s1q,s1q@g.nsu.ru,STUDENT,,DCS0062,student123
s1r,s1r@g.nsu.ru,STUDENT,,DCS0063,student123
s1s,s1s@g.nsu.ru,STUDENT,,DCS0064,student123
s1t,s1t@g.nsu.ru,STUDENT,,DCS0065,student123
s1u,s1u@g.nsu.ru,STUDENT,,DCS0066,student123
s1v,s1v@g.nsu.ru,STUDENT,,DCS0067,student123
s1w,s1w@g.nsu.ru,STUDENT,,DCS0068,student123
s1x,s1x@g.nsu.ru,STUDENT,,DCS0069,student123
s1y,s1y@g.nsu.ru,STUDENT,,DCS0070,student123
s1z,s1z@g.nsu.ru,STUDENT,,DCS0071,student123
s20,s20@g.nsu.ru,STUDENT,,DCS0072,student123
s21,s21@g.nsu.ru,STUDENT,,DCS0073,student123
s22,s22@g.nsu.ru,STUDENT,,DCS0074,student123
s23,s23@g.nsu.ru,STUDENT,,DCS0075,student123
s24,s24@g.nsu.ru,STUDENT,,DCS0076,student123
s25,s25@g.nsu.ru,STUDENT,,DCS0077,student123
s26,s26@g.nsu.ru,STUDENT,,DCS0078,student123
s27,s27@g.nsu.ru,STUDENT,,DCS0079,student123
s28,s28@g.nsu.ru,STUDENT,,DCS0080,student123
s29,s29@g.nsu.ru,STUDENT,,DCS0081,student123
s2a,s2a@g.nsu.ru,STUDENT,,DCS0082,student123
s2b,s2b@g.nsu.ru,STUDENT,,DCS0083,student123
s2c,s2c@g.nsu.ru,STUDENT,,DCS0084,student123
s2d,s2d@g.nsu.ru,STUDENT,,DCS0085,student123
s2e,s2e@g.nsu.ru,STUDENT,,DCS0086,student123
s2f,s2f@g.nsu.ru,STUDENT,,DCS0087,student123
s2g,s2g@g.nsu.ru,STUDENT,,DCS0088,student123
s2h,s2h@g.nsu.ru,STUDENT,,DCS0089,student123
s2i,s2i@g.nsu.ru,STUDENT,,DCS0090,student123
s2j,s2j@g.nsu.ru,STUDENT,,DCS0091,student123
s2k,s2k@g.nsu.ru,STUDENT,,DCS0092,student123
s2l,s2l@g.nsu.ru,STUDENT,,DCS0093,student123
s2m,s2m@g.nsu.ru,STUDENT,,DCS0094,student123
s2n,s2n@g.nsu.ru,STUDENT,,DCS0095,student123
s2o,s2o@g.nsu.ru,STUDENT,,DCS0096,student123
s2p,s2p@g.nsu.ru,STUDENT,,DCS0097,student123
s2q,s2q@g.nsu.ru,STUDENT,,DCS0098,student123
s2r,s2r@g.nsu.ru,STUDENT,,DCS0099,student123
s2s,s2s@g.nsu.ru,STUDENT,,DCS0100,student123
s2t,s2t@g.nsu.ru,STUDENT,,DCS0101,student123
s2u,s2u@g.nsu.ru,STUDENT,,DCS0102,student123
s2v,s2v@g.nsu.ru,STUDENT,,DCS0103,student123
s2w,s2w@g.nsu.ru,STUDENT,,DCS0104,student123
s2x,s2x@g.nsu.ru,STUDENT,,DCS0105,student123
s2y,s2y@g.nsu.ru,STUDENT,,DCS0106,student123
s2z,s2z@g.nsu.ru,STUDENT,,DCS0107,student123
s30,s30@g.nsu.ru,STUDENT,,DCS0108,student123
s31,s31@g.nsu.ru,STUDENT,,DCS0109,student123
s32,s32@g.nsu.ru,STUDENT,,DCS0110,student123
s33,s33@g.nsu.ru,STUDENT,,DCS0111,student123
s34,s34@g.nsu.ru,STUDENT,,DCS0112,student123
s35,s35@g.nsu.ru,STUDENT,,DCS0113,student123
s36,s36@g.nsu.ru,STUDENT,,DCS0114,student123
s37,s37@g.nsu.ru,STUDENT,,DCS0115,student123
